Radio ID*,Radio Serial Number,Radio User Alias+,Security Group+,Radio Capability Profile+,Radio Site Access Profile+,Primary Talkgroup,Voice Enabled,Interconnect Enabled,Emergency Alarm Comments,Secure Communication Mode,Data Capability,Direct Dial Number,Secure Land to Mobile Start Mode,Interconnect Subsystem,Radio User Interconnect Profile,Interconnect Secure Key Reference,IP Address Assignment,IP Address,Generate ICMP Message,Source Address Checking,Ready Timer (sec),Data Agency Group,Data Steering Profile,Access Point Name,Notes,Date Modified,Trunking Subscriber Type
4816016,781CNP4242,WWPD 17,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:20",IVD Radio
4816015,781CNP4241,WWPD 16,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:20",IVD Radio
4816013,781CNP4236,WWPD 14,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:20",IVD Radio
4816026,481CNP4239,WWPD 125,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:38:42",IVD Radio
4816021,481CNP4240,WWPD 120,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:37:47",IVD Radio
4816011,781CNP4234,WWPD 12,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:20",IVD Radio
4816010,827CNP2116,WWPD 112 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4816009,781CNP4238,WWPD 11,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4816007,781CNP4231,WWPD 1,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4813006,652CNM0127,WWPD 0934 M,1,813,813,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:13",IVD Radio
